Semester,Date,Day,Time,Room,Course
8,15/9/2025,ΔΕΥΤΕΡΑ,9-12,ΗΛ4,ΠΡΟΣΤΑΣΙΑ ΣΗΕ
8,15/9/2025,ΔΕΥΤΕΡΑ,12-15,ΗΛ4,ΝΑΝΟΗΛΕΚΤΡΟΝΙΚΗ
8,15/9/2025,ΔΕΥΤΕΡΑ,15-18,ΗΛ4,ΥΠΟΛΟΓΙΣΤΙΚΗ ΓΛΩΣΣΟΛΟΓΙΑ
8,16/9/2025,ΤΡΙΤΗ,9-12,ΗΛ3,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ ΔΙΑΔΙΚΤΥΟΥ
8,16/9/2025,ΤΡΙΤΗ,18-21,ΗΛ4,ΗΠΙΕΣ ΜΟΡΦΕΣ ΕΝΕΡΓΕΙΑΣ
8,17/9/2025,ΤΕΤΑΡΤΗ,15-18,ΗΛ4,ΠΡΟΣΤΑΣΙΑ ΑΠΟ ΥΠΕΡΤΑΣΕΙΣ – ΑΛΕΞΙΚΕΡΑΥΝΑ
8,17/9/2025,ΤΕΤΑΡΤΗ,18-21,ΗΛ4,ΘΕΩΡΙΑ ΚΕΡΑΙΩΝ
8,18/9/2025,ΠΕΜΠΤΗ,9-12,ΗΛ4,ΨΗΦΙΑΚΕΣ ΕΠΙΚΟΙΝΩΝΙΕΣ ΙΙ
8,18/9/2025,ΠΕΜΠΤΗ,12-15,ΗΛ4,ΕΡΓΑΣΤΗΡΙΟ ΕΠΙΚΟΙΝΩΝΙΩΝ Ι
8,18/9/2025,ΠΕΜΠΤΗ,15-18,ΗΛ4,ΒΙΟΜΗΧΑΝΙΚΟΙ ΑΥΤΟΜΑΤΙΣΜΟΙ
8,19/9/2025,ΠΑΡΑΣΚΕΥΗ,15-18,ΗΛ4,ΔΟΚΙΜΕΣ & ΜΕΤΡΗΣΕΙΣ ΥΨΗΛΩΝ ΤΑΣΕΩΝ
8,19/9/2025,ΠΑΡΑΣΚΕΥΗ,18-21,ΗΛ4,ΟΠΤΙΚΕΣ ΕΠΙΚΟΙΝΩΝΙΕΣ
8,20/9/2025,ΣΑΒΒΑΤΟ,15-18,ΗΛ4,ΨΗΦΙΑΚΗ ΤΕΧΝΟΛΟΓΙΑ ΗΧΟΥ
8,20/9/2025,ΣΑΒΒΑΤΟ,18-21,ΗΛ4,ΣΧΕΔΙΑΣΗ ΟΛΟΚΛΗΡΩΜΕΝΩΝ ΚΥΚΛΩΜΑΤΩΝ ΙΙ
8,22/9/2025,ΔΕΥΤΕΡΑ,9-12,ΗΛ4,ΨΗΦΙΑΚΑ ΣΥΣΤΗΜΑΤΑ ΕΛΕΓΧΟΥ
8,22/9/2025,ΔΕΥΤΕΡΑ,12-15,ΗΛ4,ΓΡΑΜΜΙΚΗ & ΣΥΝΔΙΑΣΤΙΚΗ ΒΕΛΤΙΣΤΟΠΟΙΗΣΗ
8,22/9/2025,ΔΕΥΤΕΡΑ,15-18,ΗΛ4,ΑΣΥΡΜΑΤΑ ΔΙΚΤΥΑ & ΔΙΚΤΥΑ ΚΙΝΗΤΩΝ ΕΠΙΚΟΙΝΩΝΙΩΝ
8,23/9/2025,ΤΡΙΤΗ,12-15,ΗΛ4,ΕΛΕΓΧΟΣ & ΕΥΣΤΑΘΕΙΑ ΣΗΕ
8,23/9/2025,ΤΡΙΤΗ,18-21,ΗΛ4,ΤΕΧΝΟΛΟΓΙΕΣ ΕΛΕΓΧΟΥ ΣΤΙΣ ΑΠΕ
8,24/9/2025,ΤΕΤΑΡΤΗ,15-18,ΗΛ4,ΠΡΟΗΓΜΕΝΑ ΜΙΚΤΑ ΑΝΑΛΟΓΙΚΑ /ΨΗΦΙΑΚΑ ΚΥΚΛΩΜΑΤΑ
8,24/9/2025,ΤΕΤΑΡΤΗ,18-21,ΗΛ4,ΗΛΕΚΤΡΟΝΙΚΑ ΙΣΧΥΟΣ ΙΙ
8,Σε συνεννόηση με τον καθηγητή,Σε συνεννόηση με τον καθηγητή,Σε συνεννόηση με τον καθηγητή,Σε συνεννόηση με τον καθηγητή,ΡΟΜΠΟΤΙΚΑ ΣΥΣΤΗΜΑΤΑ Ι
8,Σύμφωνα με το πρόγραμμα των Μηχανολόγων,Σύμφωνα με το πρόγραμμα των Μηχανολόγων,Σύμφωνα με το πρόγραμμα των Μηχανολόγων,Σύμφωνα με το πρόγραμμα των Μηχανολόγων,ΕΜΒΙΟΜΗΧΑΝΙΚΗ ΙΙ
8,Σύμφωνα με το πρόγραμμα των Μηχανολόγων,Σύμφωνα με το πρόγραμμα των Μηχανολόγων,Σύμφωνα με το πρόγραμμα των Μηχανολόγων,Σύμφωνα με το πρόγραμμα των Μηχανολόγων,ΔΙΑΣΤΗΜΙΚΕΣ ΤΕΝΟΛΟΓΙΕΣ
8,Σύμφωνα με το πρόγραμμα των Η/Υ,Σύμφωνα με το πρόγραμμα των Η/Υ,Σύμφωνα με το πρόγραμμα των Η/Υ,Σύμφωνα με το πρόγραμμα των Η/Υ,ΤΕΧΝΟΛΟΓΙΑ ΛΟΓΙΣΜΙΚΟΥ
8,Σύμφωνα με το πρόγραμμα των Η/Υ,Σύμφωνα με το πρόγραμμα των Η/Υ,Σύμφωνα με το πρόγραμμα των Η/Υ,Σύμφωνα με το πρόγραμμα των Η/Υ,ΕΥΦΥΗΣ ΕΛΕΓΧΟΣ
8,Σύμφωνα με το πρόγραμμα των Η/Υ,Σύμφωνα με το πρόγραμμα των Η/Υ,Σύμφωνα με το πρόγραμμα των Η/Υ,Σύμφωνα με το πρόγραμμα των Η/Υ,ΨΗΦΙΑΚΗ ΕΠΕΞΕΡΓΑΣΙΑ ΚΑΙ ΑΝΑΛΥΣΗ ΕΙΚΟΝΑΣ
8,Σύμφωνα με το πρόγραμμα των Η/Υ,Σύμφωνα με το πρόγραμμα των Η/Υ,Σύμφωνα με το πρόγραμμα των Η/Υ,Σύμφωνα με το πρόγραμμα των Η/Υ,ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΒΙΟΠΛΗΡΟΦΟΡΙΚΗ
8,Σύμφωνα με το πρόγραμμα των Η/Υ,Σύμφωνα με το πρόγραμμα των Η/Υ,Σύμφωνα με το πρόγραμμα των Η/Υ,Σύμφωνα με το πρόγραμμα των Η/Υ,ΕΞΟΡΥΞΗ ΔΕΔΟΜΕΝΩΝ
